window_end,TP,FP,TN,FN,Precision,Recall,F1
1749911072.8212032,0,0,57,0,0.0,0.0,0.0
1749911072.8285334,0,0,57,0,0.0,0.0,0.0
1749911072.893481,0,0,58,0,0.0,0.0,0.0
1749911072.9332237,0,0,58,0,0.0,0.0,0.0
1749911072.9332235,0,0,59,0,0.0,0.0,0.0
1749911072.9355586,0,0,60,0,0.0,0.0,0.0
1749911072.945441,0,0,61,0,0.0,0.0,0.0
1749911072.9484053,0,0,59,0,0.0,0.0,0.0
1749911073.0005465,0,0,62,0,0.0,0.0,0.0
1749911073.0190687,0,0,60,0,0.0,0.0,0.0
1749911073.0432217,0,0,61,0,0.0,0.0,0.0
1749911073.1086915,0,0,62,0,0.0,0.0,0.0
1749911073.1232376,0,0,63,0,0.0,0.0,0.0
1749911073.1275566,0,0,63,0,0.0,0.0,0.0
1749911073.1989522,0,0,64,0,0.0,0.0,0.0
1749911073.2042992,0,0,65,0,0.0,0.0,0.0
1749911073.2239609,0,0,64,0,0.0,0.0,0.0
1749911073.2399948,0,0,65,0,0.0,0.0,0.0
1749911073.319127,0,0,66,0,0.0,0.0,0.0
1749911073.3801823,0,0,66,0,0.0,0.0,0.0
1749911073.3874466,0,0,67,0,0.0,0.0,0.0
1749911073.394007,0,0,68,0,0.0,0.0,0.0
1749911073.407107,0,0,67,0,0.0,0.0,0.0
1749911073.4400415,0,0,69,0,0.0,0.0,0.0
1749911073.494625,0,0,68,0,0.0,0.0,0.0
1749911073.544048,0,0,69,0,0.0,0.0,0.0
1749911073.5565736,0,0,70,0,0.0,0.0,0.0
1749911073.574282,0,0,71,0,0.0,0.0,0.0
1749911073.5835588,0,0,72,0,0.0,0.0,0.0
1749911073.6265798,0,0,70,0,0.0,0.0,0.0
1749911073.62658,0,0,73,0,0.0,0.0,0.0
1749911073.6461065,0,0,74,0,0.0,0.0,0.0
1749911073.6724072,0,0,71,0,0.0,0.0,0.0
1749911073.6858504,0,0,72,0,0.0,0.0,0.0
1749911073.6966562,0,0,73,0,0.0,0.0,0.0
1749911073.7526867,0,0,75,0,0.0,0.0,0.0
1749911073.78908,0,0,74,0,0.0,0.0,0.0
1749911073.8256063,0,0,75,0,0.0,0.0,0.0
1749911073.833839,0,0,76,0,0.0,0.0,0.0
1749911073.8338327,0,0,76,0,0.0,0.0,0.0
1749911073.8473043,0,0,77,0,0.0,0.0,0.0
1749911073.8483758,0,0,77,0,0.0,0.0,0.0
1749911073.902649,0,0,78,0,0.0,0.0,0.0
1749911073.9951952,0,0,79,0,0.0,0.0,0.0
1749911074.0375524,0,0,78,0,0.0,0.0,0.0
1749911074.0743659,0,0,80,0,0.0,0.0,0.0
1749911074.0885692,0,0,79,0,0.0,0.0,0.0
1749911074.156636,0,0,81,0,0.0,0.0,0.0
1749911074.1755974,0,0,80,0,0.0,0.0,0.0
1749911074.275987,0,0,81,0,0.0,0.0,0.0
1749911074.2772524,0,0,82,0,0.0,0.0,0.0
