window_end,TP,FP,TN,FN,Precision,Recall,F1
1748413699.7204509,0,0,196,0,0,0,0
1748413699.7624059,0,0,197,0,0,0,0
1748413699.7997248,0,0,185,0,0,0,0
1748413699.833815,0,0,186,0,0,0,0
1748413699.8703153,0,0,187,0,0,0,0
1748413699.8854933,0,0,198,0,0,0,0
1748413699.8893569,0,0,199,0,0,0,0
1748413699.8897653,0,0,188,0,0,0,0
1748413699.9136066,0,0,189,0,0,0,0
1748413699.9197385,0,0,200,0,0,0,0
1748413699.9595842,0,0,190,0,0,0,0
1748413700.014462,0,0,201,0,0,0,0
1748413700.0696428,0,0,202,0,0,0,0
1748413700.0720584,0,0,203,0,0,0,0
1748413700.0732503,0,0,191,0,0,0,0
1748413700.0807555,0,0,192,0,0,0,0
1748413700.0845897,0,0,204,0,0,0,0
1748413700.1246674,0,0,193,0,0,0,0
1748413700.1272726,0,0,205,0,0,0,0
1748413700.148876,0,0,194,0,0,0,0
1748413700.1575732,0,0,195,0,0,0,0
1748413700.2208025,0,0,196,0,0,0,0
1748413700.2501535,0,0,206,0,0,0,0
1748413700.2527163,0,0,207,0,0,0,0
1748413700.2628267,0,0,197,0,0,0,0
1748413700.3623111,0,0,208,0,0,0,0
1748413700.3701382,0,0,198,0,0,0,0
1748413700.3967407,0,0,199,0,0,0,0
1748413700.417808,0,0,209,0,0,0,0
1748413700.446088,0,0,200,0,0,0,0
1748413700.4547112,0,0,201,0,0,0,0
1748413700.493181,0,0,210,0,0,0,0
1748413700.5260007,0,0,202,0,0,0,0
1748413700.552173,0,0,211,0,0,0,0
1748413700.5521822,0,0,203,0,0,0,0
1748413700.5862663,0,0,204,0,0,0,0
1748413700.630753,0,0,205,0,0,0,0
1748413700.6486516,0,0,212,0,0,0,0
1748413700.6676025,0,0,206,0,0,0,0
1748413700.7098088,0,0,207,0,0,0,0
1748413700.7324855,0,0,213,0,0,0,0
1748413700.7415316,0,0,214,0,0,0,0
1748413700.7624784,0,0,208,0,0,0,0
1748413700.821813,0,0,215,0,0,0,0
1748413700.831728,0,0,209,0,0,0,0
1748413700.848616,0,0,216,0,0,0,0
1748413700.8891432,0,0,217,0,0,0,0
1748413700.9026792,0,0,210,0,0,0,0
1748413700.9208636,0,0,211,0,0,0,0
1748413700.9361997,0,0,212,0,0,0,0
1748413700.9919903,0,0,218,0,0,0,0
1748413700.9946856,0,0,219,0,0,0,0
1748413701.0699055,0,0,213,0,0,0,0
1748413701.10588,0,0,214,0,0,0,0
1748413701.1268656,0,0,220,0,0,0,0
1748413701.1422327,0,0,215,0,0,0,0
1748413701.181877,0,0,221,0,0,0,0
1748413701.203718,0,0,216,0,0,0,0
1748413701.2443109,0,0,217,0,0,0,0
1748413701.2910635,0,0,222,0,0,0,0
1748413701.3062763,0,0,223,0,0,0,0
1748413701.3237445,0,0,218,0,0,0,0
1748413701.345035,0,0,219,0,0,0,0
1748413701.3450313,0,0,224,0,0,0,0
1748413701.3933096,0,0,225,0,0,0,0
1748413701.4292395,0,0,226,0,0,0,0
1748413701.47748,0,0,220,0,0,0,0
1748413701.5136337,0,0,221,0,0,0,0
1748413701.5720618,0,0,227,0,0,0,0
1748413701.6297212,0,0,228,0,0,0,0
1748413701.63878,0,0,222,0,0,0,0
1748413701.6508493,0,0,223,0,0,0,0
1748413701.656514,0,0,229,0,0,0,0
1748413701.6720893,0,0,230,0,0,0,0
1748413701.7257054,0,0,231,0,0,0,0
1748413701.7283397,0,0,224,0,0,0,0
